symbol,hv20,hv50,hv100,date,cur_iv,days_percentile,close
@OU,28,36,32,230818,42.14,576/ 78%ile,466.00
@OZ,26,33,30,230825,41.90,590/ 72%ile,501.20
@PAH,38,33,37,230825,35.61,589/ 21%ile,1241.50
@PAM,37,33,38,230825,34.66,588/ 13%ile,1254.80
@PAU,39,34,38,230811,32.77,588/  9%ile,1220.50
@PAV,38,105,83,230825,38.41,404/ 79%ile,1235.80
@PAZ,38,33,37,230825,35.71,592/ 18%ile,1232.80
@PLF,21,22,24,230825,23.66,588/  0%ile,954.40
@PLJ,21,21,24,230825,23.52,588/  3%ile,959.60
@PLN,21,22,25,230825,22.20,588/  0%ile,965.50
@PLU,22,28,28,230804,30.82,556/ 67%ile,911.10
@PLV,22,22,25,230825,30.33,594/ 54%ile,948.20
@RBF,15,22,27,230825,33.97,593/ 23%ile,236.71
@RBG,14,21,26,230825,34.84,588/ 30%ile,235.01
@RBH,14,21,26,230825,34.92,590/ 31%ile,235.51
@RBJ,12,19,34,230825,33.90,588/ 34%ile,253.98
@RBK,12,19,32,230825,33.47,588/ 32%ile,253.51
@RBM,12,35,32,230825,33.31,588/ 26%ile,251.51
@RBN,23,21,28,230825,33.07,588/ 21%ile,248.23
@RBQ,3.3,23,28,230719,35.01,588/ 32%ile,285.33
@RBU,27,28,29,230821,36.04,588/ 37%ile,287.64
@RBV,24,26,29,230825,35.82,591/ 31%ile,264.50
@RBX,20,24,28,230825,35.70,592/ 29%ile,252.36
@RBZ,16,22,27,230825,35.89,593/ 30%ile,242.21
@RRF,15,16,16,230825,85.38,487/ 37%ile,1631.00
@RRH,14,16,16,230825,106.18,482/ 71%ile,1659.00
@RRK,14,16,32,230414,50.85,499/ 39%ile,1678.00
@RRN,20,24,26,230609,111.03,484/ 66%ile,1774.00
@RRU,16,19,18,230811,179.56,526/ 97%ile,1553.50
@RRX,15,17,17,230825,73.00,516/ 25%ile,1603.00
@SBH,20,24,24,230825,28.45,588/ 80%ile,2516.00
@SBK,19,22,34,230825,26.05,588/ 63%ile,2394.00
@SBN,18,21,25,230825,23.90,588/ 37%ile,2295.00
@SBV,21,25,26,230825,29.11,593/ 81%ile,2483.00
@SF,22,29,23,230825,18.77,589/ 32%ile,1399.00
@SH,21,25,21,230825,17.09,590/ 11%ile,1402.00
@SIF,25,25,24,230825,124.23,585/ 96%ile,247.10
@SIH,24,25,24,230825,24.96,590/  1%ile,2493.30
@SIK,24,25,27,230825,24.89,588/  1%ile,2517.80
@SIN,28,27,25,230825,26.38,588/  3%ile,2541.60
@SIQ,25,26,46,230719,38.03,580/ 84%ile,2469.50
@SIU,25,25,25,230821,24.47,588/  4%ile,2423.40
@SIV,25,468,333,230825,27.97,583/ 29%ile,2434.90
@SIZ,25,25,24,230825,23.67,592/  0%ile,2458.30
@SK,20,23,399,230825,15.83,588/  7%ile,1402.00
@SMF,24,34,26,230825,22.11,587/ 36%ile,410.70
@SMH,22,32,25,230825,21.25,589/ 29%ile,402.40
@SMK,21,31,38,230825,20.37,588/ 21%ile,396.30
@SMN,50,41,32,230825,18.54,590/  5%ile,394.20
@SMQ,26,34,27,230714,28.15,588/ 77%ile,440.50
@SMU,22,33,26,230818,26.42,588/ 57%ile,422.70
@SMV,24,34,26,230825,26.50,592/ 67%ile,417.50
@SMZ,25,35,26,230825,24.48,594/ 56%ile,415.00
@SN,42,34,28,230825,16.20,590/  3%ile,1400.00
@SQ,15,26,23,230714,29.54,587/ 90%ile,1495.00
@SU,25,30,25,230818,20.90,588/ 36%ile,1366.00
@SX,23,29,24,230825,18.73,592/ 18%ile,1388.00
@TUH,0.5,3.9,6,230825,21.23,566/ 27%ile,102.19
@TUU,0.4,4.4,5,230818,29.34,575/ 39%ile,101.25
@TUZ,5,4.4,4.2,230825,70.62,583/ 91%ile,101.59
@TYH,10,9,10,230825,36.35,584/ 87%ile,110.52
@TYU,10,9,9,230818,31.75,576/ 67%ile,109.59
@TYZ,8,9,9,230825,42.15,586/ 88%ile,109.92
@USH,13,12,13,230825,27.09,584/ 13%ile,120.56
@USU,13,12,12,230818,65.03,576/ 85%ile,119.84
@USZ,13,12,12,230825,43.41,585/ 62%ile,119.97
@WH,30,45,37,230825,30.40,536/ 56%ile,648.80
@WK,28,42,35,230825,30.03,541/ 49%ile,665.20
@WN,47,43,37,230825,30.16,516/ 39%ile,672.80
@WU,37,51,42,230818,44.99,517/ 92%ile,604.00
@WZ,34,48,39,230825,36.10,528/ 76%ile,621.80
@YMH,9,10,10,230825,13.76,537/  1%ile,35013.00
@YMM,9,9,10,230825,14.99,543/  1%ile,35009.00
@YMU,10,10,10,230811,32.87,561/ 99%ile,34536.00
@YMZ,10,10,10,230825,16.29,570/  5%ile,34704.00
A,27,23,25,230825,26.04,600/ 30%ile,119.68
AA,33,44,44,230825,50.02,600/ 12%ile,28.23
AAC,4.2,8,6,230825,54.62,88/ 72%ile,10.69
AADI,59,59,60,230825,70.85,178/  7%ile,7.13
AAIC,23,26,66,230719,24.84,146/  0%ile,4.47
AAL,21,29,35,230825,36.85,600/  1%ile,14.58
AAN,54,55,61,230825,45.90,566/  6%ile,11.87
AAOI,239,205,159,230825,119.74,558/ 82%ile,12.99
AAON,39,33,34,230825,39.02,372/ 48%ile,60.70
AAP,38,33,76,230825,39.74,600/ 84%ile,64.08
AAPB,43,34,33,230822,35.57,3/ 33%ile,24.93
AAPD,25,21,20,230818,20.47,79/  8%ile,21.87
AAPL,25,20,19,230825,21.27,600/ 10%ile,178.61
AAPU,39,30,30,230825,35.03,147/ 38%ile,25.47
AAT,20,27,29,230825,31.45,271/ 61%ile,20.79
AAXJ,15,17,17,230825,23.76,590/ 66%ile,64.80
AB,31,28,29,230825,27.67,600/ 78%ile,30.37
ABBV,11,19,23,230825,17.91,600/  7%ile,146.69
ABC,18,15,15,230825,20.98,600/  7%ile,179.48
ABCB,25,31,41,230821,56.68,438/ 76%ile,39.44
ABCL,61,61,58,230825,68.56,600/ 20%ile,5.51
ABCM,32,56,53,230825,58.66,155/ 78%ile,23.36
ABEO,69,67,71,230825,107.46,213/  6%ile,3.93
ABEV,20,23,31,230825,32.15,533/  9%ile,2.86
ABG,25,32,39,230825,42.88,598/ 29%ile,218.70
ABIO,31,28,36,230822,76.25,448/  8%ile,2.05
ABM,16,17,24,230825,34.61,583/ 51%ile,45.54
ABNB,25,31,40,230825,37.62,600/  3%ile,125.79
ABOS,50,132,124,230825,92.62,313/  0%ile,6.30
ABR,30,41,39,230825,31.26,502/ 80%ile,15.55
ABSI,100,118,119,230811,153.75,254/ 77%ile,1.68
ABST,7,8,52,230601,40.00,413/  0%ile,11.49
ABT,16,18,20,230825,20.49,600/ 30%ile,104.21
ABUS,49,40,46,230825,63.45,590/  5%ile,2.03
ACA,25,23,32,230825,41.13,395/ 39%ile,76.51
ACAD,40,60,49,230825,42.75,600/  1%ile,28.60
ACB,116,161,139,230824,128.55,529/ 92%ile,0.44
ACCD,32,52,57,230825,65.81,600/ 33%ile,12.95
ACCO,30,31,44,230824,35.21,457/  7%ile,4.85
ACDC,47,48,58,230825,55.00,231/  3%ile,10.25
ACEL,38,29,36,230825,45.89,469/ 34%ile,11.37
ACER,115,102,93,230314,142.50,350/ 83%ile,0.56
ACES,26,28,28,230803,30.62,373/ 30%ile,40.01
ACET,70,206,153,230825,175.00,367/ 97%ile,1.67
ACGL,20,23,23,230825,30.20,593/ 77%ile,74.62
ACHC,16,34,31,230824,29.51,551/  0%ile,75.84
ACHR,163,133,119,230825,94.78,586/ 81%ile,5.78
ACHV,32,58,83,230825,118.44,438/ 49%ile,4.64
ACI,11,11,12,230825,32.89,579/ 38%ile,22.08
ACIC,111,84,167,230825,82.75,362/ 53%ile,7.29
ACIU,51,129,102,230824,87.40,466/ 60%ile,3.06
ACIW,27,27,28,230825,36.80,594/ 43%ile,23.26
ACLS,48,45,46,230825,47.14,600/ 18%ile,168.55
ACLX,34,35,51,230825,84.25,179/ 18%ile,35.59
ACM,20,17,20,230825,26.98,600/ 17%ile,86.87
ACMR,74,67,69,230825,60.85,599/  1%ile,15.52
ACN,17,19,20,230825,22.27,600/ 28%ile,318.76
ACNB,23,36,0.0,230713,96.83,25/100%ile,33.70
ACNT,36,30,34,230824,59.39,211/ 67%ile,8.96
ACOR,81,68,132,230522,216.82,363/ 99%ile,0.50
ACR,39,33,41,230825,49.60,459/ 72%ile,8.40
ACRE,24,25,36,230825,24.86,319/ 43%ile,9.83
ACRS,48,49,48,230824,94.88,531/ 79%ile,6.90
ACRX,131,114,127,230210,142.50,35/ 42%ile,1.09
ACT,24,20,25,230825,37.78,186/ 66%ile,28.91
ACTG,46,44,44,230814,57.11,510/ 17%ile,3.84
ACVA,44,42,49,230825,54.20,598/  6%ile,15.58
ACWI,11,11,12,230825,19.96,600/ 55%ile,94.48
ACWV,7,8,8,230825,26.65,560/ 94%ile,96.99
ACWX,12,14,14,230825,15.59,522/ 27%ile,47.98
ACXP,109,86,80,230602,215.91,28/100%ile,2.07
ADAP,143,112,101,230227,93.11,326/ 13%ile,0.78
ADBE,31,26,33,230825,36.80,600/ 58%ile,525.06
ADC,18,17,15,230825,21.11,566/ 41%ile,62.11
ADCT,118,114,101,230711,187.36,386/ 99%ile,1.29
ADEA,59,44,46,230825,36.29,561/  6%ile,9.79
ADES,113,133,118,230825,118.68,503/ 97%ile,1.88
ADI,23,27,28,230825,24.67,600/ 13%ile,178.16
ADM,18,21,23,230825,20.86,600/ 16%ile,80.83
ADMA,56,52,54,230825,81.09,510/ 34%ile,3.95
ADN,179,156,134,230814,145.00,508/ 95%ile,0.56
ADNT,35,29,33,230825,36.96,600/  1%ile,38.29
ADP,13,19,18,230825,19.68,600/ 20%ile,253.05
ADPT,60,64,70,230825,67.73,510/ 20%ile,6.16
ADSK,27,27,27,230825,29.69,600/ 17%ile,215.92
ADT,40,39,48,230825,39.41,600/ 16%ile,6.29
ADTN,85,59,67,230825,48.21,588/ 64%ile,8.06
ADUS,26,23,60,230825,33.22,561/  4%ile,89.37
ADV,64,54,86,230825,68.33,400/ 70%ile,2.67
ADVM,67,111,132,230823,166.88,188/100%ile,1.60
AEE,14,18,18,230825,21.85,598/ 58%ile,80.45
AEG,37,30,30,230825,31.88,299/ 40%ile,5.11
AEHR,57,74,74,230825,73.63,528/  2%ile,41.50
AEIS,39,32,32,230825,33.89,600/  2%ile,112.52
AEL,7,44,35,230824,43.70,517/ 74%ile,53.64
AEM,27,29,29,230825,32.83,600/ 19%ile,47.31
AEO,29,31,48,230825,54.98,600/ 63%ile,15.81
